FID1	IID1	FID2	IID2	Z0	Z1	Z2	PI_HAT	RELATIONSHIP_CATEGORY
MG1237	MG1237	MG1388	MG1388	0.8331	0.0000	0.1669	0.1669	Third_degree
MG1237	MG1237	MG1389	MG1389	0.8380	0.0000	0.1620	0.1620	Third_degree
MG1237	MG1237	MG1390	MG1390	0.8320	0.0000	0.1680	0.1680	Third_degree
MG1237	MG1237	MG1391	MG1391	0.8418	0.0000	0.1582	0.1582	Third_degree
MG1237	MG1237	MG1392	MG1392	0.8359	0.0000	0.1641	0.1641	Third_degree
MG1237	MG1237	MG1393	MG1393	0.8409	0.0000	0.1591	0.1591	Third_degree
MG1237	MG1237	MG1394	MG1394	0.8489	0.0000	0.1511	0.1511	Third_degree
MG1237	MG1237	MG1395	MG1395	0.8382	0.0000	0.1618	0.1618	Third_degree
MG1237	MG1237	MG1397	MG1397	0.8405	0.0000	0.1595	0.1595	Third_degree
MG1237	MG1237	MG1398	MG1398	0.8311	0.0000	0.1689	0.1689	Third_degree
MG1237	MG1237	MG1399	MG1399	0.8325	0.0000	0.1675	0.1675	Third_degree
MG1237	MG1237	MG1401	MG1401	0.8309	0.0000	0.1691	0.1691	Third_degree
MG1237	MG1237	MG1402	MG1402	0.8321	0.0000	0.1679	0.1679	Third_degree
MG1237	MG1237	MG1403	MG1403	0.8374	0.0000	0.1626	0.1626	Third_degree
MG1237	MG1237	MG1404	MG1404	0.8423	0.0000	0.1577	0.1577	Third_degree
MG1237	MG1237	MG1405	MG1405	0.8333	0.0000	0.1667	0.1667	Third_degree
MG1237	MG1237	MG1406	MG1406	0.8469	0.0000	0.1531	0.1531	Third_degree
MG1237	MG1237	MG1407	MG1407	0.8368	0.0000	0.1632	0.1632	Third_degree
MG1237	MG1237	MG1408	MG1408	0.8346	0.0000	0.1654	0.1654	Third_degree
MG1237	MG1237	MG1409	MG1409	0.8408	0.0000	0.1592	0.1592	Third_degree
MG1237	MG1237	MG1410	MG1410	0.8400	0.0000	0.1600	0.1600	Third_degree
MG1237	MG1237	MG1411	MG1411	0.8338	0.0000	0.1662	0.1662	Third_degree
MG1237	MG1237	MG1412	MG1412	0.8314	0.0000	0.1686	0.1686	Third_degree
MG1237	MG1237	MG1413	MG1413	0.8407	0.0000	0.1593	0.1593	Third_degree
MG1237	MG1237	MG1414	MG1414	0.8385	0.0000	0.1615	0.1615	Third_degree
MG1237	MG1237	MG1415	MG1415	0.8316	0.0000	0.1684	0.1684	Third_degree
MG1237	MG1237	MG1416	MG1416	0.8502	0.0000	0.1498	0.1498	Third_degree
MG1237	MG1237	MG1417	MG1417	0.8364	0.0000	0.1636	0.1636	Third_degree
MG1237	MG1237	MG1418	MG1418	0.8346	0.0000	0.1654	0.1654	Third_degree
MG1237	MG1237	MG1419	MG1419	0.8376	0.0000	0.1624	0.1624	Third_degree
MG1237	MG1237	MG1420	MG1420	0.8353	0.0000	0.1647	0.1647	Third_degree
MG1237	MG1237	MG1421	MG1421	0.8331	0.0000	0.1669	0.1669	Third_degree
MG1237	MG1237	MG1422	MG1422	0.8343	0.0000	0.1657	0.1657	Third_degree
MG1237	MG1237	MG1423	MG1423	0.8359	0.0000	0.1641	0.1641	Third_degree
MG1237	MG1237	MG1424	MG1424	0.8329	0.0000	0.1671	0.1671	Third_degree
MG1237	MG1237	MG1425	MG1425	0.8389	0.0000	0.1611	0.1611	Third_degree
MG1237	MG1237	MG1426	MG1426	0.8385	0.0000	0.1615	0.1615	Third_degree
MG1237	MG1237	MG1427	MG1427	0.8362	0.0000	0.1638	0.1638	Third_degree
MG1237	MG1237	MG1428	MG1428	0.8421	0.0000	0.1579	0.1579	Third_degree
MG1237	MG1237	MG1429	MG1429	0.8376	0.0000	0.1624	0.1624	Third_degree
MG1237	MG1237	MG1430	MG1430	0.8456	0.0000	0.1544	0.1544	Third_degree
MG1237	MG1237	MG1431	MG1431	0.8379	0.0000	0.1621	0.1621	Third_degree
MG1237	MG1237	MG1432	MG1432	0.8399	0.0000	0.1601	0.1601	Third_degree
MG1237	MG1237	MG1433	MG1433	0.8405	0.0000	0.1595	0.1595	Third_degree
MG1237	MG1237	MG1434	MG1434	0.8397	0.0000	0.1603	0.1603	Third_degree
MG1237	MG1237	MG1435	MG1435	0.8397	0.0000	0.1603	0.1603	Third_degree
MG1237	MG1237	MG1436	MG1436	0.8357	0.0000	0.1643	0.1643	Third_degree
MG1237	MG1237	MG1437	MG1437	0.8331	0.0000	0.1669	0.1669	Third_degree
MG1237	MG1237	MG1438	MG1438	0.8316	0.0000	0.1684	0.1684	Third_degree
MG1237	MG1237	MG1439	MG1439	0.8470	0.0000	0.1530	0.1530	Third_degree
MG1237	MG1237	MG1440	MG1440	0.8335	0.0000	0.1665	0.1665	Third_degree
MG1237	MG1237	MG1441	MG1441	0.8391	0.0000	0.1609	0.1609	Third_degree
MG1237	MG1237	MG1442	MG1442	0.8413	0.0000	0.1587	0.1587	Third_degree
MG1237	MG1237	MG1443	MG1443	0.8490	0.0000	0.1510	0.1510	Third_degree
MG1237	MG1237	MG1444	MG1444	0.8390	0.0000	0.1610	0.1610	Third_degree
MG1237	MG1237	MG1445	MG1445	0.8339	0.0000	0.1661	0.1661	Third_degree
MG1237	MG1237	MG1446	MG1446	0.8414	0.0000	0.1586	0.1586	Third_degree
MG1237	MG1237	MG1447	MG1447	0.8309	0.0000	0.1691	0.1691	Third_degree
MG1237	MG1237	MG1448	MG1448	0.8400	0.0000	0.1600	0.1600	Third_degree
MG1237	MG1237	MG1449	MG1449	0.8377	0.0000	0.1623	0.1623	Third_degree
MG1237	MG1237	MG1450	MG1450	0.8334	0.0000	0.1666	0.1666	Third_degree
MG1237	MG1237	MG1451	MG1451	0.8440	0.0000	0.1560	0.1560	Third_degree
MG1237	MG1237	MG1452	MG1452	0.8270	0.0000	0.1730	0.1730	Third_degree
MG1237	MG1237	MG1453	MG1453	0.8434	0.0000	0.1566	0.1566	Third_degree
MG1237	MG1237	MG1454	MG1454	0.8367	0.0000	0.1633	0.1633	Third_degree
MG1237	MG1237	MG1455	MG1455	0.8373	0.0000	0.1627	0.1627	Third_degree
MG1237	MG1237	MG1456	MG1456	0.8338	0.0000	0.1662	0.1662	Third_degree
MG1237	MG1237	MG1457	MG1457	0.8330	0.0000	0.1670	0.1670	Third_degree
MG1237	MG1237	MG1458	MG1458	0.8335	0.0000	0.1665	0.1665	Third_degree
MG1237	MG1237	MG1459	MG1459	0.8373	0.0000	0.1627	0.1627	Third_degree
MG1237	MG1237	MG1460	MG1460	0.8357	0.0000	0.1643	0.1643	Third_degree
MG1237	MG1237	MG1461	MG1461	0.8378	0.0000	0.1622	0.1622	Third_degree
MG1238	MG1238	MG1239	MG1239	0.8333	0.0000	0.1667	0.1667	Third_degree
MG1238	MG1238	MG1240	MG1240	0.8340	0.0000	0.1660	0.1660	Third_degree
MG1238	MG1238	MG1241	MG1241	0.8403	0.0000	0.1597	0.1597	Third_degree
MG1238	MG1238	MG1242	MG1242	0.8282	0.0000	0.1718	0.1718	Third_degree
MG1238	MG1238	MG1243	MG1243	0.8398	0.0000	0.1602	0.1602	Third_degree
MG1238	MG1238	MG1244	MG1244	0.8273	0.0000	0.1727	0.1727	Third_degree
MG1238	MG1238	MG1245	MG1245	0.8444	0.0000	0.1556	0.1556	Third_degree
MG1238	MG1238	MG1247	MG1247	0.8310	0.0000	0.1690	0.1690	Third_degree
MG1238	MG1238	MG1248	MG1248	0.8304	0.0000	0.1696	0.1696	Third_degree
MG1238	MG1238	MG1249	MG1249	0.8283	0.0000	0.1717	0.1717	Third_degree
MG1238	MG1238	MG1250	MG1250	0.8454	0.0000	0.1546	0.1546	Third_degree
MG1238	MG1238	MG1251	MG1251	0.8362	0.0000	0.1638	0.1638	Third_degree
MG1238	MG1238	MG1252	MG1252	0.8400	0.0000	0.1600	0.1600	Third_degree
MG1238	MG1238	MG1253	MG1253	0.8396	0.0000	0.1604	0.1604	Third_degree
MG1238	MG1238	MG1254	MG1254	0.8429	0.0000	0.1571	0.1571	Third_degree
MG1238	MG1238	MG1255	MG1255	0.8294	0.0000	0.1706	0.1706	Third_degree
MG1238	MG1238	MG1256	MG1256	0.8427	0.0000	0.1573	0.1573	Third_degree
MG1238	MG1238	MG1257	MG1257	0.8315	0.0000	0.1685	0.1685	Third_degree
MG1238	MG1238	MG1258	MG1258	0.8316	0.0000	0.1684	0.1684	Third_degree
MG1238	MG1238	MG1259	MG1259	0.8370	0.0000	0.1630	0.1630	Third_degree
MG1238	MG1238	MG1260	MG1260	0.8310	0.0000	0.1690	0.1690	Third_degree
MG1238	MG1238	MG1261	MG1261	0.8406	0.0000	0.1594	0.1594	Third_degree
MG1238	MG1238	MG1262	MG1262	0.8300	0.0000	0.1700	0.1700	Third_degree
MG1238	MG1238	MG1263	MG1263	0.8420	0.0000	0.1580	0.1580	Third_degree
MG1238	MG1238	MG1264	MG1264	0.8373	0.0000	0.1627	0.1627	Third_degree
MG1238	MG1238	MG1265	MG1265	0.8367	0.0000	0.1633	0.1633	Third_degree
MG1238	MG1238	MG1266	MG1266	0.8283	0.0000	0.1717	0.1717	Third_degree
MG1238	MG1238	MG1267	MG1267	0.8345	0.0000	0.1655	0.1655	Third_degree
MG1238	MG1238	MG1268	MG1268	0.8375	0.0000	0.1625	0.1625	Third_degree
MG1238	MG1238	MG1269	MG1269	0.8484	0.0000	0.1516	0.1516	Third_degree
MG1238	MG1238	MG1270	MG1270	0.8350	0.0000	0.1650	0.1650	Third_degree
MG1238	MG1238	MG1271	MG1271	0.8355	0.0000	0.1645	0.1645	Third_degree
MG1238	MG1238	MG1272	MG1272	0.8362	0.0000	0.1638	0.1638	Third_degree
MG1238	MG1238	MG1273	MG1273	0.8280	0.0000	0.1720	0.1720	Third_degree
MG1238	MG1238	MG1274	MG1274	0.8333	0.0000	0.1667	0.1667	Third_degree
MG1238	MG1238	MG1275	MG1275	0.8306	0.0000	0.1694	0.1694	Third_degree
MG1238	MG1238	MG1276	MG1276	0.8318	0.0000	0.1682	0.1682	Third_degree
MG1238	MG1238	MG1277	MG1277	0.8310	0.0000	0.1690	0.1690	Third_degree
MG1238	MG1238	MG1278	MG1278	0.8430	0.0000	0.1570	0.1570	Third_degree
MG1238	MG1238	MG1279	MG1279	0.8403	0.0000	0.1597	0.1597	Third_degree
MG1238	MG1238	MG1280	MG1280	0.8282	0.0000	0.1718	0.1718	Third_degree
MG1238	MG1238	MG1281	MG1281	0.8369	0.0000	0.1631	0.1631	Third_degree
MG1238	MG1238	MG1282	MG1282	0.8297	0.0000	0.1703	0.1703	Third_degree
MG1238	MG1238	MG1283	MG1283	0.8316	0.0000	0.1684	0.1684	Third_degree
MG1238	MG1238	MG1284	MG1284	0.8374	0.0000	0.1626	0.1626	Third_degree
MG1238	MG1238	MG1285	MG1285	0.8298	0.0000	0.1702	0.1702	Third_degree
MG1238	MG1238	MG1286	MG1286	0.8326	0.0000	0.1674	0.1674	Third_degree
MG1238	MG1238	MG1287	MG1287	0.8401	0.0000	0.1599	0.1599	Third_degree
MG1238	MG1238	MG1288	MG1288	0.8293	0.0000	0.1707	0.1707	Third_degree
MG1238	MG1238	MG1289	MG1289	0.8257	0.0000	0.1743	0.1743	Third_degree
MG1238	MG1238	MG1290	MG1290	0.8396	0.0000	0.1604	0.1604	Third_degree
MG1238	MG1238	MG1291	MG1291	0.8254	0.0000	0.1746	0.1746	Third_degree
MG1238	MG1238	MG1292	MG1292	0.8341	0.0000	0.1659	0.1659	Third_degree
MG1238	MG1238	MG1294	MG1294	0.8319	0.0000	0.1681	0.1681	Third_degree
MG1238	MG1238	MG1295	MG1295	0.8355	0.0000	0.1645	0.1645	Third_degree
MG1238	MG1238	MG1296	MG1296	0.8326	0.0000	0.1674	0.1674	Third_degree
MG1238	MG1238	MG1297	MG1297	0.8403	0.0000	0.1597	0.1597	Third_degree
MG1238	MG1238	MG1299	MG1299	0.8381	0.0000	0.1619	0.1619	Third_degree
MG1238	MG1238	MG1300	MG1300	0.8362	0.0000	0.1638	0.1638	Third_degree
MG1238	MG1238	MG1301	MG1301	0.8246	0.0000	0.1754	0.1754	Third_degree
MG1238	MG1238	MG1302	MG1302	0.8290	0.0000	0.1710	0.1710	Third_degree
MG1238	MG1238	MG1303	MG1303	0.8237	0.0000	0.1763	0.1763	Third_degree
MG1238	MG1238	MG1304	MG1304	0.8420	0.0000	0.1580	0.1580	Third_degree
MG1238	MG1238	MG1305	MG1305	0.8346	0.0000	0.1654	0.1654	Third_degree
MG1238	MG1238	MG1306	MG1306	0.8312	0.0000	0.1688	0.1688	Third_degree
MG1238	MG1238	MG1307	MG1307	0.8304	0.0000	0.1696	0.1696	Third_degree
MG1238	MG1238	MG1308	MG1308	0.8560	0.0000	0.1440	0.1440	Third_degree
MG1238	MG1238	MG1309	MG1309	0.8312	0.0000	0.1688	0.1688	Third_degree
MG1238	MG1238	MG1310	MG1310	0.8408	0.0000	0.1592	0.1592	Third_degree
MG1238	MG1238	MG1311	MG1311	0.8358	0.0000	0.1642	0.1642	Third_degree
MG1238	MG1238	MG1312	MG1312	0.8328	0.0000	0.1672	0.1672	Third_degree
MG1238	MG1238	MG1313	MG1313	0.8474	0.0000	0.1526	0.1526	Third_degree
MG1238	MG1238	MG1314	MG1314	0.8414	0.0000	0.1586	0.1586	Third_degree
MG1238	MG1238	MG1315	MG1315	0.8301	0.0000	0.1699	0.1699	Third_degree
MG1238	MG1238	MG1316	MG1316	0.8372	0.0000	0.1628	0.1628	Third_degree
MG1238	MG1238	MG1317	MG1317	0.8345	0.0000	0.1655	0.1655	Third_degree
MG1238	MG1238	MG1318	MG1318	0.8382	0.0000	0.1618	0.1618	Third_degree
MG1238	MG1238	MG1319	MG1319	0.8368	0.0000	0.1632	0.1632	Third_degree
MG1238	MG1238	MG1320	MG1320	0.8384	0.0000	0.1616	0.1616	Third_degree
MG1238	MG1238	MG1321	MG1321	0.8345	0.0000	0.1655	0.1655	Third_degree
MG1238	MG1238	MG1323	MG1323	0.8367	0.0000	0.1633	0.1633	Third_degree
MG1238	MG1238	MG1324	MG1324	0.8507	0.0000	0.1493	0.1493	Third_degree
MG1238	MG1238	MG1326	MG1326	0.8306	0.0000	0.1694	0.1694	Third_degree
MG1238	MG1238	MG1327	MG1327	0.8348	0.0000	0.1652	0.1652	Third_degree
MG1238	MG1238	MG1328	MG1328	0.8346	0.0000	0.1654	0.1654	Third_degree
MG1238	MG1238	MG1329	MG1329	0.8334	0.0000	0.1666	0.1666	Third_degree
MG1238	MG1238	MG1330	MG1330	0.8430	0.0000	0.1570	0.1570	Third_degree
MG1238	MG1238	MG1332	MG1332	0.8485	0.0000	0.1515	0.1515	Third_degree
MG1238	MG1238	MG1333	MG1333	0.8286	0.0000	0.1714	0.1714	Third_degree
MG1238	MG1238	MG1334	MG1334	0.8351	0.0000	0.1649	0.1649	Third_degree
MG1238	MG1238	MG1335	MG1335	0.8381	0.0000	0.1619	0.1619	Third_degree
MG1238	MG1238	MG1336	MG1336	0.8341	0.0000	0.1659	0.1659	Third_degree
MG1238	MG1238	MG1337	MG1337	0.8353	0.0000	0.1647	0.1647	Third_degree
MG1238	MG1238	MG1338	MG1338	0.8353	0.0000	0.1647	0.1647	Third_degree
MG1238	MG1238	MG1339	MG1339	0.8433	0.0000	0.1567	0.1567	Third_degree
MG1238	MG1238	MG1340	MG1340	0.8443	0.0000	0.1557	0.1557	Third_degree
MG1238	MG1238	MG1341	MG1341	0.8347	0.0000	0.1653	0.1653	Third_degree
MG1238	MG1238	MG1342	MG1342	0.8306	0.0000	0.1694	0.1694	Third_degree
MG1238	MG1238	MG1343	MG1343	0.8387	0.0000	0.1613	0.1613	Third_degree
MG1238	MG1238	MG1344	MG1344	0.8287	0.0000	0.1713	0.1713	Third_degree
MG1238	MG1238	MG1345	MG1345	0.8299	0.0000	0.1701	0.1701	Third_degree
MG1238	MG1238	MG1346	MG1346	0.8367	0.0000	0.1633	0.1633	Third_degree
MG1238	MG1238	MG1347	MG1347	0.8351	0.0000	0.1649	0.1649	Third_degree
MG1238	MG1238	MG1348	MG1348	0.8397	0.0000	0.1603	0.1603	Third_degree
MG1238	MG1238	MG1349	MG1349	0.8317	0.0000	0.1683	0.1683	Third_degree
MG1238	MG1238	MG1350	MG1350	0.8487	0.0000	0.1513	0.1513	Third_degree
MG1238	MG1238	MG1351	MG1351	0.8332	0.0000	0.1668	0.1668	Third_degree
MG1238	MG1238	MG1352	MG1352	0.8347	0.0000	0.1653	0.1653	Third_degree
MG1238	MG1238	MG1354	MG1354	0.8255	0.0000	0.1745	0.1745	Third_degree
MG1238	MG1238	MG1356	MG1356	0.8342	0.0000	0.1658	0.1658	Third_degree
MG1238	MG1238	MG1357	MG1357	0.8337	0.0000	0.1663	0.1663	Third_degree
MG1238	MG1238	MG1358	MG1358	0.8330	0.0000	0.1670	0.1670	Third_degree
MG1238	MG1238	MG1359	MG1359	0.8328	0.0000	0.1672	0.1672	Third_degree
MG1238	MG1238	MG1360	MG1360	0.8394	0.0000	0.1606	0.1606	Third_degree
MG1238	MG1238	MG1361	MG1361	0.8297	0.0000	0.1703	0.1703	Third_degree
MG1238	MG1238	MG1362	MG1362	0.8248	0.0000	0.1752	0.1752	Third_degree
MG1238	MG1238	MG1363	MG1363	0.8369	0.0000	0.1631	0.1631	Third_degree
MG1238	MG1238	MG1364	MG1364	0.8399	0.0000	0.1601	0.1601	Third_degree
MG1238	MG1238	MG1365	MG1365	0.8414	0.0000	0.1586	0.1586	Third_degree
MG1238	MG1238	MG1366	MG1366	0.8364	0.0000	0.1636	0.1636	Third_degree
MG1238	MG1238	MG1367	MG1367	0.8278	0.0000	0.1722	0.1722	Third_degree
MG1238	MG1238	MG1368	MG1368	0.8430	0.0000	0.1570	0.1570	Third_degree
MG1238	MG1238	MG1369	MG1369	0.8422	0.0000	0.1578	0.1578	Third_degree
MG1238	MG1238	MG1370	MG1370	0.8340	0.0000	0.1660	0.1660	Third_degree
MG1238	MG1238	MG1371	MG1371	0.8280	0.0000	0.1720	0.1720	Third_degree
MG1238	MG1238	MG1372	MG1372	0.8397	0.0000	0.1603	0.1603	Third_degree
MG1238	MG1238	MG1373	MG1373	0.8331	0.0000	0.1669	0.1669	Third_degree
MG1238	MG1238	MG1374	MG1374	0.8358	0.0000	0.1642	0.1642	Third_degree
MG1238	MG1238	MG1376	MG1376	0.8364	0.0000	0.1636	0.1636	Third_degree
MG1238	MG1238	MG1377	MG1377	0.8412	0.0000	0.1588	0.1588	Third_degree
MG1238	MG1238	MG1378	MG1378	0.8391	0.0000	0.1609	0.1609	Third_degree
MG1238	MG1238	MG1379	MG1379	0.8212	0.0000	0.1788	0.1788	Second_degree
MG1238	MG1238	MG1380	MG1380	0.8226	0.0000	0.1774	0.1774	Second_degree
MG1238	MG1238	MG1381	MG1381	0.8356	0.0000	0.1644	0.1644	Third_degree
MG1238	MG1238	MG1382	MG1382	0.8298	0.0000	0.1702	0.1702	Third_degree
MG1238	MG1238	MG1383	MG1383	0.8337	0.0000	0.1663	0.1663	Third_degree
MG1238	MG1238	MG1384	MG1384	0.8323	0.0000	0.1677	0.1677	Third_degree
MG1238	MG1238	MG1385	MG1385	0.8241	0.0000	0.1759	0.1759	Third_degree
MG1238	MG1238	MG1388	MG1388	0.8335	0.0000	0.1665	0.1665	Third_degree
MG1238	MG1238	MG1389	MG1389	0.8257	0.0000	0.1743	0.1743	Third_degree
MG1238	MG1238	MG1390	MG1390	0.8351	0.0000	0.1649	0.1649	Third_degree
MG1238	MG1238	MG1391	MG1391	0.8365	0.0000	0.1635	0.1635	Third_degree
MG1238	MG1238	MG1392	MG1392	0.8242	0.0000	0.1758	0.1758	Third_degree
MG1238	MG1238	MG1393	MG1393	0.8329	0.0000	0.1671	0.1671	Third_degree
MG1238	MG1238	MG1394	MG1394	0.8512	0.0000	0.1488	0.1488	Third_degree
MG1238	MG1238	MG1395	MG1395	0.8358	0.0000	0.1642	0.1642	Third_degree
MG1238	MG1238	MG1397	MG1397	0.8393	0.0000	0.1607	0.1607	Third_degree
MG1238	MG1238	MG1398	MG1398	0.8300	0.0000	0.1700	0.1700	Third_degree
MG1238	MG1238	MG1399	MG1399	0.8298	0.0000	0.1702	0.1702	Third_degree
MG1238	MG1238	MG1401	MG1401	0.8303	0.0000	0.1697	0.1697	Third_degree
MG1238	MG1238	MG1402	MG1402	0.8362	0.0000	0.1638	0.1638	Third_degree
MG1238	MG1238	MG1403	MG1403	0.8435	0.0000	0.1565	0.1565	Third_degree
MG1238	MG1238	MG1404	MG1404	0.8450	0.0000	0.1550	0.1550	Third_degree
MG1238	MG1238	MG1405	MG1405	0.8389	0.0000	0.1611	0.1611	Third_degree
MG1238	MG1238	MG1406	MG1406	0.8339	0.0000	0.1661	0.1661	Third_degree
MG1238	MG1238	MG1407	MG1407	0.8378	0.0000	0.1622	0.1622	Third_degree
MG1238	MG1238	MG1408	MG1408	0.8363	0.0000	0.1637	0.1637	Third_degree
MG1238	MG1238	MG1409	MG1409	0.8297	0.0000	0.1703	0.1703	Third_degree
MG1238	MG1238	MG1410	MG1410	0.8297	0.0000	0.1703	0.1703	Third_degree
MG1238	MG1238	MG1411	MG1411	0.8358	0.0000	0.1642	0.1642	Third_degree
MG1238	MG1238	MG1412	MG1412	0.8369	0.0000	0.1631	0.1631	Third_degree
MG1238	MG1238	MG1413	MG1413	0.8383	0.0000	0.1617	0.1617	Third_degree
MG1238	MG1238	MG1414	MG1414	0.8351	0.0000	0.1649	0.1649	Third_degree
MG1238	MG1238	MG1415	MG1415	0.8266	0.0000	0.1734	0.1734	Third_degree
MG1238	MG1238	MG1416	MG1416	0.8460	0.0000	0.1540	0.1540	Third_degree
MG1238	MG1238	MG1417	MG1417	0.8365	0.0000	0.1635	0.1635	Third_degree
MG1238	MG1238	MG1419	MG1419	0.8371	0.0000	0.1629	0.1629	Third_degree
MG1238	MG1238	MG1420	MG1420	0.8355	0.0000	0.1645	0.1645	Third_degree
MG1238	MG1238	MG1421	MG1421	0.8369	0.0000	0.1631	0.1631	Third_degree
MG1238	MG1238	MG1422	MG1422	0.8210	0.0000	0.1790	0.1790	Second_degree
MG1238	MG1238	MG1423	MG1423	0.8352	0.0000	0.1648	0.1648	Third_degree
MG1238	MG1238	MG1424	MG1424	0.8341	0.0000	0.1659	0.1659	Third_degree
MG1238	MG1238	MG1425	MG1425	0.8372	0.0000	0.1628	0.1628	Third_degree
MG1238	MG1238	MG1426	MG1426	0.8261	0.0000	0.1739	0.1739	Third_degree
MG1238	MG1238	MG1427	MG1427	0.8318	0.0000	0.1682	0.1682	Third_degree
MG1238	MG1238	MG1428	MG1428	0.8372	0.0000	0.1628	0.1628	Third_degree
MG1238	MG1238	MG1429	MG1429	0.8335	0.0000	0.1665	0.1665	Third_degree
MG1238	MG1238	MG1430	MG1430	0.8294	0.0000	0.1706	0.1706	Third_degree
MG1238	MG1238	MG1431	MG1431	0.8406	0.0000	0.1594	0.1594	Third_degree
MG1238	MG1238	MG1432	MG1432	0.8397	0.0000	0.1603	0.1603	Third_degree
MG1238	MG1238	MG1433	MG1433	0.8381	0.0000	0.1619	0.1619	Third_degree
MG1238	MG1238	MG1434	MG1434	0.8344	0.0000	0.1656	0.1656	Third_degree
MG1238	MG1238	MG1435	MG1435	0.8420	0.0000	0.1580	0.1580	Third_degree
MG1238	MG1238	MG1436	MG1436	0.8320	0.0000	0.1680	0.1680	Third_degree
MG1238	MG1238	MG1437	MG1437	0.8351	0.0000	0.1649	0.1649	Third_degree
MG1238	MG1238	MG1438	MG1438	0.8314	0.0000	0.1686	0.1686	Third_degree
MG1238	MG1238	MG1439	MG1439	0.8375	0.0000	0.1625	0.1625	Third_degree
MG1238	MG1238	MG1440	MG1440	0.8324	0.0000	0.1676	0.1676	Third_degree
MG1238	MG1238	MG1441	MG1441	0.8303	0.0000	0.1697	0.1697	Third_degree
MG1238	MG1238	MG1442	MG1442	0.8305	0.0000	0.1695	0.1695	Third_degree
MG1238	MG1238	MG1443	MG1443	0.8559	0.0000	0.1441	0.1441	Third_degree
MG1238	MG1238	MG1444	MG1444	0.8287	0.0000	0.1713	0.1713	Third_degree
MG1238	MG1238	MG1445	MG1445	0.8320	0.0000	0.1680	0.1680	Third_degree
MG1238	MG1238	MG1446	MG1446	0.8310	0.0000	0.1690	0.1690	Third_degree
MG1238	MG1238	MG1447	MG1447	0.8312	0.0000	0.1688	0.1688	Third_degree
MG1238	MG1238	MG1448	MG1448	0.8380	0.0000	0.1620	0.1620	Third_degree
MG1238	MG1238	MG1449	MG1449	0.8297	0.0000	0.1703	0.1703	Third_degree
MG1238	MG1238	MG1450	MG1450	0.8320	0.0000	0.1680	0.1680	Third_degree
MG1238	MG1238	MG1451	MG1451	0.8429	0.0000	0.1571	0.1571	Third_degree
MG1238	MG1238	MG1452	MG1452	0.8313	0.0000	0.1687	0.1687	Third_degree
MG1238	MG1238	MG1453	MG1453	0.8316	0.0000	0.1684	0.1684	Third_degree
MG1238	MG1238	MG1454	MG1454	0.8371	0.0000	0.1629	0.1629	Third_degree
MG1238	MG1238	MG1455	MG1455	0.8420	0.0000	0.1580	0.1580	Third_degree
MG1238	MG1238	MG1456	MG1456	0.8354	0.0000	0.1646	0.1646	Third_degree
MG1238	MG1238	MG1457	MG1457	0.8364	0.0000	0.1636	0.1636	Third_degree
MG1238	MG1238	MG1458	MG1458	0.8364	0.0000	0.1636	0.1636	Third_degree
MG1238	MG1238	MG1459	MG1459	0.8383	0.0000	0.1617	0.1617	Third_degree
MG1238	MG1238	MG1460	MG1460	0.8335	0.0000	0.1665	0.1665	Third_degree
MG1238	MG1238	MG1461	MG1461	0.8311	0.0000	0.1689	0.1689	Third_degree
MG1239	MG1239	MG1240	MG1240	0.8358	0.0000	0.1642	0.1642	Third_degree
MG1239	MG1239	MG1241	MG1241	0.8435	0.0000	0.1565	0.1565	Third_degree
MG1239	MG1239	MG1242	MG1242	0.8359	0.0000	0.1641	0.1641	Third_degree
MG1239	MG1239	MG1243	MG1243	0.8458	0.0000	0.1542	0.1542	Third_degree
MG1239	MG1239	MG1244	MG1244	0.8343	0.0000	0.1657	0.1657	Third_degree
MG1239	MG1239	MG1245	MG1245	0.8439	0.0000	0.1561	0.1561	Third_degree
MG1239	MG1239	MG1246	MG1246	0.8378	0.0000	0.1622	0.1622	Third_degree
MG1239	MG1239	MG1247	MG1247	0.8393	0.0000	0.1607	0.1607	Third_degree
MG1239	MG1239	MG1248	MG1248	0.8375	0.0000	0.1625	0.1625	Third_degree
MG1239	MG1239	MG1249	MG1249	0.8392	0.0000	0.1608	0.1608	Third_degree
MG1239	MG1239	MG1250	MG1250	0.8482	0.0000	0.1518	0.1518	Third_degree
MG1239	MG1239	MG1251	MG1251	0.8424	0.0000	0.1576	0.1576	Third_degree
MG1239	MG1239	MG1252	MG1252	0.8383	0.0000	0.1617	0.1617	Third_degree
MG1239	MG1239	MG1253	MG1253	0.8423	0.0000	0.1577	0.1577	Third_degree
MG1239	MG1239	MG1254	MG1254	0.8468	0.0000	0.1532	0.1532	Third_degree
MG1239	MG1239	MG1255	MG1255	0.8353	0.0000	0.1647	0.1647	Third_degree
MG1239	MG1239	MG1256	MG1256	0.8483	0.0000	0.1517	0.1517	Third_degree
MG1239	MG1239	MG1257	MG1257	0.8468	0.0000	0.1532	0.1532	Third_degree
MG1239	MG1239	MG1258	MG1258	0.8379	0.0000	0.1621	0.1621	Third_degree
MG1239	MG1239	MG1259	MG1259	0.8403	0.0000	0.1597	0.1597	Third_degree
MG1239	MG1239	MG1260	MG1260	0.8346	0.0000	0.1654	0.1654	Third_degree
MG1239	MG1239	MG1261	MG1261	0.8446	0.0000	0.1554	0.1554	Third_degree
